event_description,location_description,location_accuracy,landslide_trigger,landslide_size,landslide_setting,landslide_category,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_population,rain,earthquake,downpour,snow,other,small_scale,medium_scale,large_scale,home_destroyed,mudslide,landslide
"(CBS/AP) At least 10 people died and as many as 80 were still missing Wednesday in central Peru after torrential rains swelled three rivers, forcing them over their banks and causing devastating landslides earlier in the week. ","San Ramon district, 195 miles northeast of the capital, Lima, ",10km,downpour,large,unknown,landslide,10.0,0.0,nan,nan,nan,glc,973.0,Peru,PE,14708.0,1,0,1,0,0,0,0,1,0,0,1
"One person was killed in Dailekh district, police said.",Dailekh district,unknown,monsoon,medium,unknown,landslide,1.0,0.0,nan,nan,nan,glc,1067.0,Nepal,NP,20908.0,1,0,0,0,0,0,1,0,0,0,1
"3 killed, including 2 children when rocks fell on their homes","calle Granjas, Ampliación Miguel de la Madrid, Acapulco",10km,tropical_cyclone,medium,unknown,complex,3.0,0.0,Tropical Storm Henrietta,http://www.cronica.com.mx/oimagenes11/1/f94ae83365.jpg,nan,glc,225.0,Mexico,MX,3191.0,0,0,0,0,1,0,1,0,1,0,0
"Yunnan has so far reported 40 deaths and 43 people missing with another 1.3 million affected by the landslides and mud-rock flows. Chuxiong, the hardest-hit area, reported 24 deaths and 42 people missing; In Kunming, the capital of Yunnan, four people died and torrents of mud have flowed through towns and villages elsewhere, the China Daily said.","Kunming, Yunnan",25km,downpour,medium,unknown,complex,4.0,0.0,nan,nan,nan,glc,874.0,China,CN,1023674.0,1,0,1,0,0,0,1,0,0,0,0
"A landslide hit the village in barangay Gadgaron, Matnog town, Sorsogon province around eight o' clock Friday evening. Gadgaron village chief Juanito Gamit said incessant rains these past few days softened the mountain slope, and strong rains Friday evering triggered the 

erosion. Houses near and in front of the eroded mountain were not affected, but a truck parked beneath the mountain was partly buried. The mountain is located along the national road of barangay Gadgaron in Matnog. 1 man was injured.","Gadgaron village of Matnog town, Sorsogon ",5km,downpour,medium,unknown,landslide,0.0,1.0,nan,nan,nan,glc,955.0,Philippines,PH,6721.0,1,0,1,0,0,0,1,0,0,0,1
"police said at least seven people were killed and 15 injured when homes collapsed in a landslide in heavy rain in Freetown Thursday. Rescue teams were searching for bodies beneath mud, stones and rubble from three hillside houses that collapsed, police official Ibrahima Samura told Reuters.",Freetown,5km,downpour,medium,unknown,landslide,7.0,0.0,nan,nan,nan,glc,1085.0,Sierra Leone,SL,802639.0,1,0,1,0,0,0,1,0,1,0,1
"Floods and landslides claim two lives in Brunei Muara District. Two people in Brunei have been killed after heavy rains caused landslides and flooding that were among the sultanate's worst ever, a newspaper reported Thursday.  A 46-year-old woman died when a landslide crashed into her house as she slept, the Borneo Bulletin reported, citing a police spokesperson. In another incident, a 19-year-old woman trying to walk home from work drowned in fast-flowing flood waters, the report said. ",Muara District,5km,downpour,medium,unknown,landslide,2.0,0.0,nan,nan,nan,glc,974.0,Brunei,BN,64409.0,1,0,1,0,0,0,1,0,1,0,1
"Photo taken on Jan. 22, 2009 shows a scene of a landslide in Mexico City, capital of Mexico, Jan. 22, 2009. The landslide caused two people dead with another one injured. The reason is estimated to be the loose structure of the hill caused by continuous heavy rains last year. (Xinhua/Pool Contreras) ",Mexico City,50km,downpour,medium,unknown,landslide,2.0,0.0,nan,nan,nan,glc,975.0,Mexico,MX,12294193.0,1,0,1,0,0,0,1,0,0,0,1
"At least two people were killed even as 103,383 people in Central and Southern Luzon were affected in floods and landslides caused by heavy rains in recent days, the National Disaster Coordinating Council (NDCC) said on Wednesday.  In its 9 a.m. report, the NDCC said 21,969 families or 103,383 people were affected in Zambales, Bataan and Pampanga.  The NDCC said the two fatalities - Nerissa Nievres, 3, and sister Nancy, 2 - died after a landslide hit their house at Sitio Camcaman in Real village in Calamba City, Laguna. ","Sitio Camcaman in Real village in Calamba City, Laguna",10km,downpour,medium,unknown,landslide,2.0,0.0,nan,nan,nan,glc,983.0,Philippines,PH,4164.0,1,0,1,0,0,0,1,0,0,0,1
"Two female bodies were found in hard-hit Hofu city in Yamaguchi prefecture, 750 kilometres (470 miles) west of Tokyo, and the remains of another female were found on a river bank in nearby Mine city, police said.  The disaster sparked by torrential rains killed 14 people in Yamaguchi -- including six who died when a large mudslide hit a Hofu nursing home on Tuesday -- while one man drowned in a flooded river in Tottori prefecture. Three people still remained missing in Yamaguchi Friday, police said. In Hofu city on Friday, a total of 635 search-and-rescue personnel and volunteers kept searching for the missing. The Hofu city office said there were 29 landslides and that rivers and canals flooded in 46 places. At least three cars were buried in mud and rocks.",Hofu city in Yamaguchi prefecture,5km,downpour,medium,unknown,landslide,6.0,0.0,nan,nan,nan,glc,1053.0,Japan,JP,116925.0,1,0,1,0,0,0,1,0,1,0,1
"Separately, two people were missing after a landslide flattened a home in Hiroshima, a local official said. Recent downpours have wreaked havoc in the region. ",Hiroshima Prefecture (find more information),10km,downpour,medium,unknown,landslide,2.0,0.0,nan,nan,nan,glc,1058.0,Japan,JP,1143841.0,1,0,1,0,0,0,1,0,1,0,1
"The landslides followed heavy monsoonal rains since Thursday night. The largest death toll was seen in Syangja district, about 200 km west of Kathmandu, where five people died when their homes were smashed by falling mud and rocks, police said. The victims, who included people in their 70s and a five-year-old, were trapped in their homes Friday by debris when the side of a hill collapsed at Chitrebhanjyang, the police said. ",(Chitrebhanjyang) Syangja districts,50km,monsoon,medium,unknown,landslide,5.0,0.0,nan,nan,nan,glc,1065.0,Nepal,NP,21867.0,1,0,0,0,0,0,1,0,1,0,1
Lodge and nearby houses were hit by a 300 m wide landslide and went into the sea at 4:30 am,Rio de Janeiro state,25km,downpour,large,unknown,mudslide,22.0,28.0,nan,nan,Death toll is likely higher,glc,1382.0,Brazil,BR,153635.0,1,0,1,0,0,0,0,1,0,1,0
"Dehradun, July 21 (PTI) Two persons were killed and five injured in Uttarakhand, where incessant rains triggered landslides in Garhwal and Kumaon region, blocking several routes and disrupted normal life.Scores of pilgrims were stranded as the debris from landslides was lying on the routes to 'Chardham'-- Yamunotri, Gangotri, Kedarnath and Badrinath, officials said.One person was killed and another injured when the roof of a bus stand collapsed after overnight heavy rains in Chamoli district.In Almora, a jeep skidded off the road and fell into a gorge leaving one person dead and four others injured, they said.In several places, mud house collapsed and crops were were damaged. 16 people have died and 70 have been injured in rain related incidents during this monsoon season.","Kumaon, Uttarakhand",25km,rain,medium,unknown,landslide,1.0,0.0,nan,nan,nan,glc,3821.0,India,IN,32442.0,1,0,0,0,0,0,1,0,0,0,1
"2 killed, 5 injured",Doba,25km,rain,medium,unknown,landslide,2.0,0.0,nan,nan,nan,glc,37.0,India,IN,14711.0,1,0,0,0,0,0,1,0,0,0,1
"Kathmandu, 03 July, (Asiantribune.com):  Flood and landslide triggered by incessant rainfall over the past few days in different parts of the country have killed at least 12 persons including three children from a single family and displaced hundreds of families. The torrential rains have also inundated dozens of houses and damaged roads, obstructing vehicular movement in various parts of the country.  Reports said three siblings of same family were killed by landslide triggered by excessive rainfall in Malatikot VDC-7 of Achchham district in western Nepal on Saturday. They met tragic death when their mother had gone to nearby river to fetch drinking water.  Likewise, a girl was buried to death by landslide in Tanahu district in central part of the country. Jyoti Thapa, 12, of Bhagawatipur VDC-5 in the district was buried to death while out cutting grass.  Similarly in neighboring Arghakhanchi district, two persons have been killed in separate mishaps caused by incessant rains. Kunti M",Rural roads in Arghakhanchi,unknown,downpour,medium,unknown,landslide,2.0,0.0,nan,nan,nan,glc,3712.0,Nepal,NP,91733.0,1,0,1,0,0,0,1,0,0,0,1
